domain,token,order
geography,geo_state_19*,3
geography,geo_state_20*,4
geography,geo_metro_20*,5
geography,cgeo_region,6
geography,cgeo_state,7
race_ethnicity,race_eth_maj,1
race_ethnicity,race_eth_maj_col,2
race_ethnicity,race_eth_mm_maj,3
race_ethnicity,race_eth_mm_maj_col,4
race_ethnicity,race_eth_maj_rp_19*,5
race_ethnicity,race_eth_maj_rp_20*,6
race_ethnicity,race_eth_maj_sp_19*,7
race_ethnicity,race_eth_maj_sp_20*,8
race_ethnicity,race_eth_maj_col_rp_19*,9
race_ethnicity,race_eth_maj_col_rp_20*,10
race_ethnicity,race_eth_maj_col_sp_19*,11
race_ethnicity,race_eth_maj_col_sp_20*,12
race_ethnicity,race_eth_mm_maj_rp_19*,13
race_ethnicity,race_eth_mm_maj_rp_20*,14
race_ethnicity,race_eth_mm_maj_sp_19*,15
race_ethnicity,race_eth_mm_maj_sp_20*,16
race_ethnicity,race_eth_mm_maj_col_rp_19*,17
race_ethnicity,race_eth_mm_maj_col_rp_20*,18
race_ethnicity,race_eth_mm_maj_col_sp_19*,19
race_ethnicity,race_eth_mm_maj_col_sp_20*,20
race_ethnicity,eth_only_span_19*,21
race_ethnicity,eth_only_span_20*,22
race_ethnicity,race_only_1m_19*,23
race_ethnicity,race_only_1m_20*,24
race_ethnicity,race_only_2m_19*,25
race_ethnicity,race_only_2m_20*,26
race_ethnicity,race_only_3m_19*,27
race_ethnicity,race_only_3m_20*,28
race_ethnicity,race_only_4m_19*,29
race_ethnicity,race_only_4m_20*,30
time_use,time_acar_20*,1
time_use,time_ccar_20*,2
time_use,time_educ_20*,3
time_use,time_hous_19*,4
time_use,time_hous_20*,5
time_use,time_leis_20*,6
time_use,time_pers_20*,7
time_use,time_shop_20*,8
time_use,time_volu_20*,9
time_use,time_work_20*,10
chronic_conditions,ccon_arth_diag_any_19*,1
chronic_conditions,ccon_arth_diag_any_20*,2
chronic_conditions,ccon_arth_diag_age_20*,3
chronic_conditions,ccon_arth_degr_19*,4
chronic_conditions,ccon_arth_degr_20*,5
chronic_conditions,ccon_arth_care_20*,6
chronic_conditions,ccon_asth_diag_any_19*,7
chronic_conditions,ccon_asth_diag_any_20*,8
chronic_conditions,ccon_asth_diag_age_20*,9
chronic_conditions,ccon_asth_degr_19*,10
chronic_conditions,ccon_asth_degr_20*,11
chronic_conditions,ccon_asth_care_20*,12
chronic_conditions,ccon_canc_diag_any_19*,13
chronic_conditions,ccon_canc_diag_any_20*,14
chronic_conditions,ccon_canc_diag_age_20*,15
chronic_conditions,ccon_canc_degr_19*,16
chronic_conditions,ccon_canc_degr_20*,17
chronic_conditions,ccon_canc_stat_20*,18
chronic_conditions,ccon_canc_type_1m_20*,19
chronic_conditions,ccon_canc_type_2m_20*,20
chronic_conditions,ccon_diab_diag_any_19*,21
chronic_conditions,ccon_diab_diag_any_20*,22
chronic_conditions,ccon_diab_diag_age_20*,23
chronic_conditions,ccon_diab_degr_19*,24
chronic_conditions,ccon_diab_degr_20*,25
chronic_conditions,ccon_diab_care_20*,26
chronic_conditions,ccon_emop_diag_any_19*,27
chronic_conditions,ccon_emop_diag_any_20*,28
chronic_conditions,ccon_emop_diag_age_20*,29
chronic_conditions,ccon_emop_degr_19*,30
chronic_conditions,ccon_emop_degr_20*,31
chronic_conditions,ccon_emop_care_20*,32
chronic_conditions,ccon_emop_type_1m_20*,33
chronic_conditions,ccon_emop_type_2m_20*,34
chronic_conditions,ccon_emop_type_3m_20*,35
chronic_conditions,ccon_hatt_diag_any_19*,36
chronic_conditions,ccon_hatt_diag_any_20*,37
chronic_conditions,ccon_hatt_diag_age_20*,38
chronic_conditions,ccon_hatt_diag_2nd_20*,39
chronic_conditions,ccon_hatt_degr_19*,40
chronic_conditions,ccon_hatt_degr_20*,41
chronic_conditions,ccon_hatt_care_20*,42
chronic_conditions,ccon_hdis_diag_any_19*,43
chronic_conditions,ccon_hdis_diag_any_20*,44
chronic_conditions,ccon_hdis_diag_age_20*,45
chronic_conditions,ccon_hdis_degr_19*,46
chronic_conditions,ccon_hdis_degr_20*,47
chronic_conditions,ccon_hdis_care_20*,48
chronic_conditions,ccon_hibp_diag_any_19*,49
chronic_conditions,ccon_hibp_diag_any_20*,50
chronic_conditions,ccon_hibp_diag_age_20*,51
chronic_conditions,ccon_hibp_degr_19*,52
chronic_conditions,ccon_hibp_degr_20*,53
chronic_conditions,ccon_hibp_care_20*,54
chronic_conditions,ccon_ldis_diag_any_19*,55
chronic_conditions,ccon_ldis_diag_any_20*,56
chronic_conditions,ccon_ldis_diag_age_20*,57
chronic_conditions,ccon_ldis_degr_19*,58
chronic_conditions,ccon_ldis_degr_20*,59
chronic_conditions,ccon_ldis_care_20*,60
chronic_conditions,ccon_lmem_diag_any_19*,61
chronic_conditions,ccon_lmem_diag_any_20*,62
chronic_conditions,ccon_lmem_diag_age_20*,63
chronic_conditions,ccon_lmem_degr_19*,64
chronic_conditions,ccon_lmem_degr_20*,65
chronic_conditions,ccon_lmem_care_20*,66
chronic_conditions,ccon_lung_diag_any_19*,67
chronic_conditions,ccon_lung_diag_any_20*,68
chronic_conditions,ccon_lung_diag_age_20*,69
chronic_conditions,ccon_lung_degr_19*,70
chronic_conditions,ccon_lung_degr_20*,71
chronic_conditions,ccon_lung_care_20*,72
chronic_conditions,ccon_stro_diag_any_19*,73
chronic_conditions,ccon_stro_diag_any_20*,74
chronic_conditions,ccon_stro_diag_age_20*,75
chronic_conditions,ccon_stro_diag_2nd_20*,76
chronic_conditions,ccon_stro_degr_19*,77
chronic_conditions,ccon_stro_degr_20*,78
chronic_conditions,ccon_stro_care_20*,79
chronic_conditions,ccon_ocon_diag_any_20*,80
chronic_conditions,ccon_ocon_diag_age_20*,81
chronic_conditions,ccon_ocon_degr_20*,82
chronic_conditions,ccon_ocon_care_20*,83
chronic_conditions,ccon_ocon_type_20*,84
covid_19,covid_vacc_20*,1
covid_19,covid_posi_20*,2
covid_19,covid_medi_20*,3
covid_19,covid_test_20*,4
covid_19,covid_diag_20*,5
covid_19,covid_symp_20*,6
covid_19,covid_hosp_any_20*,7
covid_19,covid_hosp_num_20*,8
covid_19,covid_hosp_treat_icu_20*,9
covid_19,covid_hosp_treat_oxy_20*,10
covid_19,covid_hosp_treat_ven_20*,11
covid_19,covid_hosp_treat_oth_20*,12
covid_19,covid_ling_any_20*,13
covid_19,covid_ling_type_20*,14
covid_19,covid_ling_sev_20*,15
dementia,dmnt_score_tot_20*,1
dementia,dmnt_score_cut_20*,2
dementia,dmnt_elig_20*,3
dementia,dmnt_q1_any_20*,4
dementia,dmnt_q2_any_20*,5
dementia,dmnt_q3_any_20*,6
dementia,dmnt_q4_any_20*,7
dementia,dmnt_q5_any_20*,8
dementia,dmnt_q6_any_20*,9
dementia,dmnt_q7_any_20*,10
dementia,dmnt_q8_any_20*,11
depression,dep_score_tot_20*,1
depression,dep_score_cut_20*,2
depression,dep_degr_20*,3
depression,dep_q1_freq_20*,4
depression,dep_q2_freq_20*,5
depression,dep_q3_freq_20*,6
depression,dep_q4_freq_20*,7
depression,dep_q5_freq_20*,8
depression,dep_q6_freq_20*,9
disability,adl_sum_tot_19*,1
disability,adl_sum_tot_20*,2
disability,adl_sum_any_19*,3
disability,adl_sum_any_20*,4
disability,adl_q1_any_19*,5
disability,adl_q1_any_20*,6
disability,adl_q1_hlp_19*,7
disability,adl_q1_hlp_20*,8
disability,adl_q2_any_19*,9
disability,adl_q2_any_20*,10
disability,adl_q2_hlp_19*,11
disability,adl_q2_hlp_20*,12
disability,adl_q3_any_19*,13
disability,adl_q3_any_20*,14
disability,adl_q3_hlp_19*,15
disability,adl_q3_hlp_20*,16
disability,adl_q4_any_19*,17
disability,adl_q4_any_20*,18
disability,adl_q4_hlp_19*,19
disability,adl_q4_hlp_20*,20
disability,adl_q5_any_19*,21
disability,adl_q5_any_20*,22
disability,adl_q5_hlp_19*,23
disability,adl_q5_hlp_20*,24
disability,adl_q6_any_19*,25
disability,adl_q6_any_20*,26
disability,adl_q6_hlp_19*,27
disability,adl_q6_hlp_20*,28
disability,adl_q7_any_19*,29
disability,adl_q7_any_20*,30
disability,adl_q7_hlp_19*,31
disability,adl_q7_hlp_20*,32
disability,iadl_sum_tot_19*,33
disability,iadl_sum_tot_20*,34
disability,iadl_sum_any_19*,35
disability,iadl_sum_any_20*,36
disability,iadl_q1_any_19*,37
disability,iadl_q1_any_20*,38
disability,iadl_q1_hea_19*,39
disability,iadl_q1_hea_20*,40
disability,iadl_q2_any_19*,41
disability,iadl_q2_any_20*,42
disability,iadl_q2_hea_19*,43
disability,iadl_q2_hea_20*,44
disability,iadl_q3_any_19*,45
disability,iadl_q3_any_20*,46
disability,iadl_q3_hea_19*,47
disability,iadl_q3_hea_20*,48
disability,iadl_q4_any_19*,49
disability,iadl_q4_any_20*,50
disability,iadl_q4_hea_19*,51
disability,iadl_q4_hea_20*,52
disability,iadl_q5_any_19*,53
disability,iadl_q5_any_20*,54
disability,iadl_q5_hea_19*,55
disability,iadl_q5_hea_20*,56
disability,iadl_q6_any_19*,57
disability,iadl_q6_any_20*,58
disability,iadl_q6_hea_19*,59
disability,iadl_q6_hea_20*,60
general_wellbeing,nhlth_birth_wght,1
general_wellbeing,ghlth_stat_19*,2
general_wellbeing,ghlth_stat_20*,3
general_wellbeing,ghlth_poor_19*,4
general_wellbeing,ghlth_poor_20*,5
general_wellbeing,ghlth_chng_19*,6
general_wellbeing,ghlth_chng_20*,7
general_wellbeing,hosp_any_19*,8
general_wellbeing,hosp_any_20*,9
general_wellbeing,hosp_num_19*,10
general_wellbeing,hosp_num_20*,11
general_wellbeing,body_hght_in_19*,12
general_wellbeing,body_hght_in_20*,13
general_wellbeing,body_hght_cm_19*,14
general_wellbeing,body_hght_cm_20*,15
general_wellbeing,body_wght_lb_19*,16
general_wellbeing,body_wght_lb_20*,17
general_wellbeing,body_wght_kg_19*,18
general_wellbeing,body_wght_kg_20*,19
general_wellbeing,life_stat_20*,20
earnings,earn_tot_nd_19*,1
earnings,earn_tot_nd_20*,2
earnings,earn_tot_ndf_19*,3
earnings,earn_tot_ndf_20*,4
earnings,earn_tot_rd_19*,5
earnings,earn_tot_rd_20*,6
earnings,earn_tot_rdf_19*,7
earnings,earn_tot_rdf_20*,8
earnings,earn_tot_nd_rp_19*,9
earnings,earn_tot_nd_rp_20*,10
earnings,earn_tot_nd_sp_19*,11
earnings,earn_tot_nd_sp_20*,12
earnings,earn_tot_ndf_rp_19*,13
earnings,earn_tot_ndf_rp_20*,14
earnings,earn_tot_ndf_sp_19*,15
earnings,earn_tot_ndf_sp_20*,16
earnings,earn_tot_rd_rp_19*,17
earnings,earn_tot_rd_rp_20*,18
earnings,earn_tot_rd_sp_19*,19
earnings,earn_tot_rd_sp_20*,20
earnings,earn_tot_rdf_rp_19*,21
earnings,earn_tot_rdf_rp_20*,22
earnings,earn_tot_rdf_sp_19*,23
earnings,earn_tot_rdf_sp_20*,24
employment,emp_stat_1m_19*,1
employment,emp_stat_1m_20*,2
employment,emp_stat_2m_19*,3
employment,emp_stat_2m_20*,4
employment,emp_stat_3m_19*,5
employment,emp_stat_3m_20*,6
employment,emp_stat_1m_rp_19*,7
employment,emp_stat_1m_rp_20*,8
employment,emp_stat_2m_rp_19*,9
employment,emp_stat_2m_rp_20*,10
employment,emp_stat_3m_rp_19*,11
employment,emp_stat_3m_rp_20*,12
employment,emp_stat_1m_sp_19*,13
employment,emp_stat_1m_sp_20*,14
employment,emp_stat_2m_sp_19*,15
employment,emp_stat_2m_sp_20*,16
employment,emp_stat_3m_sp_19*,17
employment,emp_stat_3m_sp_20*,18
employment,emp_work_19*,19
employment,emp_work_20*,20
employment,emp_work_rp_19*,21
employment,emp_work_rp_20*,22
employment,emp_work_sp_19*,23
employment,emp_work_sp_20*,24
employment,emp_work_mm_19*,25
employment,emp_work_mm_20*,26
employment,emp_work_mm_rp_19*,27
employment,emp_work_mm_rp_20*,28
employment,emp_work_mm_sp_19*,29
employment,emp_work_mm_sp_20*,30
expenditures,expn_tot_nd_19*,1
expenditures,expn_tot_nd_20*,2
expenditures,expn_tot_ndf_19*,3
expenditures,expn_tot_ndf_20*,4
expenditures,expn_tot_rd_19*,5
expenditures,expn_tot_rd_20*,6
expenditures,expn_tot_rdf_19*,7
expenditures,expn_tot_rdf_20*,8
expenditures,expn_tot_irv_nd_20*,9
expenditures,expn_tot_irv_ndf_20*,10
expenditures,expn_tot_irv_rd_20*,11
expenditures,expn_tot_irv_rdf_20*,12
expenditures,expn_ccar_tot_nd_19*,13
expenditures,expn_ccar_tot_nd_20*,14
expenditures,expn_ccar_tot_ndf_19*,15
expenditures,expn_ccar_tot_ndf_20*,16
expenditures,expn_ccar_tot_rd_19*,17
expenditures,expn_ccar_tot_rd_20*,18
expenditures,expn_ccar_tot_rdf_19*,19
expenditures,expn_ccar_tot_rdf_20*,20
expenditures,expn_clot_tot_nd_20*,21
expenditures,expn_clot_tot_ndf_20*,22
expenditures,expn_clot_tot_rd_20*,23
expenditures,expn_clot_tot_rdf_20*,24
expenditures,expn_comp_tot_nd_20*,25
expenditures,expn_comp_tot_ndf_20*,26
expenditures,expn_comp_tot_rd_20*,27
expenditures,expn_comp_tot_rdf_20*,28
expenditures,expn_educ_tot_nd_19*,29
expenditures,expn_educ_tot_nd_20*,30
expenditures,expn_educ_tot_ndf_19*,31
expenditures,expn_educ_tot_ndf_20*,32
expenditures,expn_educ_tot_rd_19*,33
expenditures,expn_educ_tot_rd_20*,34
expenditures,expn_educ_tot_rdf_19*,35
expenditures,expn_educ_tot_rdf_20*,36
expenditures,expn_food_tot_nd_19*,37
expenditures,expn_food_tot_nd_20*,38
expenditures,expn_food_tot_ndf_19*,39
expenditures,expn_food_tot_ndf_20*,40
expenditures,expn_food_tot_rd_19*,41
expenditures,expn_food_tot_rd_20*,42
expenditures,expn_food_tot_rdf_19*,43
expenditures,expn_food_tot_rdf_20*,44
expenditures,expn_hlth_tot_nd_19*,45
expenditures,expn_hlth_tot_nd_20*,46
expenditures,expn_hlth_tot_ndf_19*,47
expenditures,expn_hlth_tot_ndf_20*,48
expenditures,expn_hlth_tot_rd_19*,49
expenditures,expn_hlth_tot_rd_20*,50
expenditures,expn_hlth_tot_rdf_19*,51
expenditures,expn_hlth_tot_rdf_20*,52
expenditures,expn_hlth_doc_nd_19*,53
expenditures,expn_hlth_doc_nd_20*,54
expenditures,expn_hlth_doc_ndf_19*,55
expenditures,expn_hlth_doc_ndf_20*,56
expenditures,expn_hlth_doc_rd_19*,57
expenditures,expn_hlth_doc_rd_20*,58
expenditures,expn_hlth_doc_rdf_19*,59
expenditures,expn_hlth_doc_rdf_20*,60
expenditures,expn_hlth_hos_nd_19*,61
expenditures,expn_hlth_hos_nd_20*,62
expenditures,expn_hlth_hos_ndf_19*,63
expenditures,expn_hlth_hos_ndf_20*,64
expenditures,expn_hlth_hos_rd_19*,65
expenditures,expn_hlth_hos_rd_20*,66
expenditures,expn_hlth_hos_rdf_19*,67
expenditures,expn_hlth_hos_rdf_20*,68
expenditures,expn_hlth_ins_nd_19*,69
expenditures,expn_hlth_ins_nd_20*,70
expenditures,expn_hlth_ins_ndf_19*,71
expenditures,expn_hlth_ins_ndf_20*,72
expenditures,expn_hlth_ins_rd_19*,73
expenditures,expn_hlth_ins_rd_20*,74
expenditures,expn_hlth_ins_rdf_19*,75
expenditures,expn_hlth_ins_rdf_20*,76
expenditures,expn_hlth_pre_nd_19*,77
expenditures,expn_hlth_pre_nd_20*,78
expenditures,expn_hlth_pre_ndf_19*,79
expenditures,expn_hlth_pre_ndf_20*,80
expenditures,expn_hlth_pre_rd_19*,81
expenditures,expn_hlth_pre_rd_20*,82
expenditures,expn_hlth_pre_rdf_19*,83
expenditures,expn_hlth_pre_rdf_20*,84
expenditures,expn_hous_tot_nd_19*,85
expenditures,expn_hous_tot_nd_20*,86
expenditures,expn_hous_tot_ndf_19*,87
expenditures,expn_hous_tot_ndf_20*,88
expenditures,expn_hous_tot_rd_19*,89
expenditures,expn_hous_tot_rd_20*,90
expenditures,expn_hous_tot_rdf_19*,91
expenditures,expn_hous_tot_rdf_20*,92
expenditures,expn_orec_tot_nd_20*,93
expenditures,expn_orec_tot_ndf_20*,94
expenditures,expn_orec_tot_rd_20*,95
expenditures,expn_orec_tot_rdf_20*,96
expenditures,expn_tran_tot_nd_19*,97
expenditures,expn_tran_tot_nd_20*,98
expenditures,expn_tran_tot_ndf_19*,99
expenditures,expn_tran_tot_ndf_20*,100
expenditures,expn_tran_tot_rd_19*,101
expenditures,expn_tran_tot_rd_20*,102
expenditures,expn_tran_tot_rdf_19*,103
expenditures,expn_tran_tot_rdf_20*,104
expenditures,expn_trip_tot_nd_20*,105
expenditures,expn_trip_tot_ndf_20*,106
expenditures,expn_trip_tot_rd_20*,107
expenditures,expn_trip_tot_rdf_20*,108
family_income,finc_tot_nd_19*,1
family_income,finc_tot_nd_20*,2
family_income,finc_tot_ndf_19*,3
family_income,finc_tot_ndf_20*,4
family_income,finc_tot_rd_19*,5
family_income,finc_tot_rd_20*,6
family_income,finc_tot_rdf_19*,7
family_income,finc_tot_rdf_20*,8
occupations,occ_1970c_19*,1
occupations,occ_1970c_20*,2
occupations,occ_2000c_1m_20*,3
occupations,occ_2000c_2m_20*,4
occupations,occ_2000c_3m_20*,5
occupations,occ_2000c_4m_20*,6
occupations,occ_2010c_1m_20*,7
occupations,occ_2010c_2m_20*,8
occupations,occ_2010c_3m_20*,9
occupations,occ_2010c_4m_20*,10
primary_home,home_stat_19*,1
primary_home,home_stat_20*,2
primary_home,home_own_val_nd_19*,3
primary_home,home_own_val_nd_20*,4
primary_home,home_own_val_ndf_19*,5
primary_home,home_own_val_ndf_20*,6
primary_home,home_own_val_rd_19*,7
primary_home,home_own_val_rd_20*,8
primary_home,home_own_val_rdf_19*,9
primary_home,home_own_val_rdf_20*,10
primary_home,home_own_mor_any_1m_19*,11
primary_home,home_own_mor_any_1m_20*,12
primary_home,home_own_mor_any_2m_19*,13
primary_home,home_own_mor_any_2m_20*,14
primary_home,home_own_mor_any_3m_19*,15
primary_home,home_own_mor_any_3m_20*,16
primary_home,home_own_mor_val_1m_nd_19*,17
primary_home,home_own_mor_val_1m_nd_20*,18
primary_home,home_own_mor_val_1m_ndf_19*,19
primary_home,home_own_mor_val_1m_ndf_20*,20
primary_home,home_own_mor_val_1m_rd_19*,21
primary_home,home_own_mor_val_1m_rd_20*,22
primary_home,home_own_mor_val_1m_rdf_19*,23
primary_home,home_own_mor_val_1m_rdf_20*,24
primary_home,home_own_mor_val_2m_nd_19*,25
primary_home,home_own_mor_val_2m_nd_20*,26
primary_home,home_own_mor_val_2m_ndf_19*,27
primary_home,home_own_mor_val_2m_ndf_20*,28
primary_home,home_own_mor_val_2m_rd_19*,29
primary_home,home_own_mor_val_2m_rd_20*,30
primary_home,home_own_mor_val_2m_rdf_19*,31
primary_home,home_own_mor_val_2m_rdf_20*,32
wealth,wlth_tot_net_nd_19*,1
wealth,wlth_tot_net_nd_20*,2
wealth,wlth_tot_net_ndf_19*,3
wealth,wlth_tot_net_ndf_20*,4
wealth,wlth_tot_net_rd_19*,5
wealth,wlth_tot_net_rd_20*,6
wealth,wlth_tot_net_rdf_19*,7
wealth,wlth_tot_net_rdf_20*,8
wealth,wlth_tot_net_xh_nd_19*,9
wealth,wlth_tot_net_xh_nd_20*,10
wealth,wlth_tot_net_xh_ndf_19*,11
wealth,wlth_tot_net_xh_ndf_20*,12
wealth,wlth_tot_net_xh_rd_19*,13
wealth,wlth_tot_net_xh_rd_20*,14
wealth,wlth_tot_net_xh_rdf_19*,15
wealth,wlth_tot_net_xh_rdf_20*,16
wealth,wlth_tot_net_xhr_nd_19*,17
wealth,wlth_tot_net_xhr_nd_20*,18
wealth,wlth_tot_net_xhr_ndf_19*,19
wealth,wlth_tot_net_xhr_ndf_20*,20
wealth,wlth_tot_net_xhr_rd_19*,21
wealth,wlth_tot_net_xhr_rd_20*,22
wealth,wlth_tot_net_xhr_rdf_19*,23
wealth,wlth_tot_net_xhr_rdf_20*,24
wealth,wlth_tot_ass_nd_19*,25
wealth,wlth_tot_ass_nd_20*,26
wealth,wlth_tot_ass_ndf_19*,27
wealth,wlth_tot_ass_ndf_20*,28
wealth,wlth_tot_ass_rd_19*,29
wealth,wlth_tot_ass_rd_20*,30
wealth,wlth_tot_ass_rdf_19*,31
wealth,wlth_tot_ass_rdf_20*,32
wealth,wlth_tot_ass_xh_nd_19*,33
wealth,wlth_tot_ass_xh_nd_20*,34
wealth,wlth_tot_ass_xh_ndf_19*,35
wealth,wlth_tot_ass_xh_ndf_20*,36
wealth,wlth_tot_ass_xh_rd_19*,37
wealth,wlth_tot_ass_xh_rd_20*,38
wealth,wlth_tot_ass_xh_rdf_19*,39
wealth,wlth_tot_ass_xh_rdf_20*,40
wealth,wlth_tot_ass_xhr_nd_19*,41
wealth,wlth_tot_ass_xhr_nd_20*,42
wealth,wlth_tot_ass_xhr_ndf_19*,43
wealth,wlth_tot_ass_xhr_ndf_20*,44
wealth,wlth_tot_ass_xhr_rd_19*,45
wealth,wlth_tot_ass_xhr_rd_20*,46
wealth,wlth_tot_ass_xhr_rdf_19*,47
wealth,wlth_tot_ass_xhr_rdf_20*,48
wealth,wlth_tot_deb_nd_19*,49
wealth,wlth_tot_deb_nd_20*,50
wealth,wlth_tot_deb_ndf_19*,51
wealth,wlth_tot_deb_ndf_20*,52
wealth,wlth_tot_deb_rd_19*,53
wealth,wlth_tot_deb_rd_20*,54
wealth,wlth_tot_deb_rdf_19*,55
wealth,wlth_tot_deb_rdf_20*,56
wealth,wlth_tot_deb_xh_nd_19*,57
wealth,wlth_tot_deb_xh_nd_20*,58
wealth,wlth_tot_deb_xh_ndf_19*,59
wealth,wlth_tot_deb_xh_ndf_20*,60
wealth,wlth_tot_deb_xh_rd_19*,61
wealth,wlth_tot_deb_xh_rd_20*,62
wealth,wlth_tot_deb_xh_rdf_19*,63
wealth,wlth_tot_deb_xh_rdf_20*,64
wealth,wlth_tot_deb_xhr_nd_19*,65
wealth,wlth_tot_deb_xhr_nd_20*,66
wealth,wlth_tot_deb_xhr_ndf_19*,67
wealth,wlth_tot_deb_xhr_ndf_20*,68
wealth,wlth_tot_deb_xhr_rd_19*,69
wealth,wlth_tot_deb_xhr_rd_20*,70
wealth,wlth_tot_deb_xhr_rdf_19*,71
wealth,wlth_tot_deb_xhr_rdf_20*,72
wealth,wlth_home_net_nd_19*,73
wealth,wlth_home_net_nd_20*,74
wealth,wlth_home_net_ndf_19*,75
wealth,wlth_home_net_ndf_20*,76
wealth,wlth_home_net_rd_19*,77
wealth,wlth_home_net_rd_20*,78
wealth,wlth_home_net_rdf_19*,79
wealth,wlth_home_net_rdf_20*,80
wealth,wlth_home_ass_nd_19*,81
wealth,wlth_home_ass_nd_20*,82
wealth,wlth_home_ass_ndf_19*,83
wealth,wlth_home_ass_ndf_20*,84
wealth,wlth_home_ass_rd_19*,85
wealth,wlth_home_ass_rd_20*,86
wealth,wlth_home_ass_rdf_19*,87
wealth,wlth_home_ass_rdf_20*,88
wealth,wlth_home_deb_nd_19*,89
wealth,wlth_home_deb_nd_20*,90
wealth,wlth_home_deb_ndf_19*,91
wealth,wlth_home_deb_ndf_20*,92
wealth,wlth_home_deb_rd_19*,93
wealth,wlth_home_deb_rd_20*,94
wealth,wlth_home_deb_rdf_19*,95
wealth,wlth_home_deb_rdf_20*,96
wealth,wlth_real_net_nd_19*,97
wealth,wlth_real_net_nd_20*,98
wealth,wlth_real_net_ndf_19*,99
wealth,wlth_real_net_ndf_20*,100
wealth,wlth_real_net_rd_19*,101
wealth,wlth_real_net_rd_20*,102
wealth,wlth_real_net_rdf_19*,103
wealth,wlth_real_net_rdf_20*,104
wealth,wlth_real_ass_nd_20*,105
wealth,wlth_real_ass_ndf_20*,106
wealth,wlth_real_ass_rd_20*,107
wealth,wlth_real_ass_rdf_20*,108
wealth,wlth_real_deb_nd_20*,109
wealth,wlth_real_deb_ndf_20*,110
wealth,wlth_real_deb_rd_20*,111
wealth,wlth_real_deb_rdf_20*,112
wealth,wlth_fbus_net_nd_19*,113
